cable_id,sld_schema,cbl_type,label,from,calc_lengt,splice_id,to,backhaul,sp1_type,sp1_label,sp2_type,sp2_label,stru_label,enc_type,placement,sc_type,coords_from,coords_to,reel_end
238,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;,24,GAL/A097/24F,GAL/A096,314,97,GAL/A097,2,SP8A,GAL/A097/A130,SP4B,GAL/A097/A130/6,GAL/A/EIR/CH051,5,2,ODP1+ODP2,POINT(524065.23 725767.2),POINT(524254.52 725533.56),2
113,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;,12,GAL/A098/12F,GAL/A097,88,98,GAL/A098,2,SP4A,GAL/A098/A130/1,,NULL,GAL/A/EIR/CH227,2,2,ODP2,POINT(524254.52 725533.56),POINT(524296.81 725462.31),2
257,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;,12,GAL/A099/12F,GAL/A098,53,99,GAL/A099,2,SP4A,GAL/A099/A130/2,,NULL,1693331,2,1,ODP2,POINT(524296.81 725462.31),POINT(524313.06 725424.25),2
269,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;,12,GAL/A100/12F,GAL/A099,218,100,GAL/A100,2,SP4A,GAL/A100/A130/3,,NULL,GAL/A/EIR/CH242,2,2,ODP2,POINT(524313.06 725424.25),POINT(524407.66 725240.6),2
111,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;,12,GAL/A101/12F,GAL/A100,54,101,GAL/A101,2,SP4A,GAL/A101/A130/4,,NULL,1693335,2,1,ODP2,POINT(524407.66 725240.6),POINT(524421.47 725202.91),2
112,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;,12,GAL/A102/12F,GAL/A101,119,102,GAL/A102,2,SP4A,GAL/A102/A130/5,,NULL,GAL/A/EIR/CH355,2,2,ODP2,POINT(524421.47 725202.91),POINT(524459.55 725104.59),2
268,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;,24,GAL/A063/24F,GAL/A062,146,63,GAL/A063,2,SP4A,GAL/A063/A124/2,SP4A,GAL/A063/A124/6,GAL/A/EIR/CH271,2,2,ODP2,POINT(524329.57 726316.9),POINT(524352.54 726449.04),2
102,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;,24,GAL/A064/24F,GAL/A063,155,64,GAL/A064,2,SP8A,GAL/A064/A125,SP4B,GAL/A064/A125/6,GAL/A/EIR/CH017,5,2,ODP1+ODP2,POINT(524352.54 726449.04),POINT(524375.94 726597.02),2
255,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;1;,12,GAL/A065/12F,GAL/A064,113,65,GAL/A065,2,SP4A,GAL/A065/A125/1,,NULL,106797,2,1,ODP2,POINT(524375.94 726597.02),POINT(524398.08 726697.94),2
101,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;1;1;,12,GAL/A066/12F,GAL/A065,101,66,GAL/A066,2,SP4A,GAL/A066/A125/2,,NULL,1656616,2,1,ODP2,POINT(524398.08 726697.94),POINT(524412.08 726782.92),2
